"","county_name","state","dem_votes","rep_votes","county_total_votes","rep_share"
"2585","SMYTH","VIRGINIA",2825,6843,9668,0.707798924286305
"2586","SNOHOMISH","WASHINGTON",197436,64160,261596,0.245263689047233
"2587","SNYDER","PENNSYLVANIA",3583,9696,13279,0.730175465019956
"2588","SOCORRO","NEW MEXICO",3879,2325,6204,0.374758220502901
"2589","SOLANO","CALIFORNIA",95638,37498,133136,0.281651844730201
"2590","SOMERSET","MARYLAND",3022,4424,7446,0.594144507117916
"2591","SOMERSET","NEW JERSEY",77448,56160,133608,0.420334111729837
"2592","SOMERSET","PENNSYLVANIA",6963,21572,28535,0.755983879446294
"2593","SOMERVELL","TEXAS",577,3007,3584,0.839006696428571
"2594","SONOMA","CALIFORNIA",160389,20028,180417,0.11100949467068
"2595","SOUTHAMPTON","VIRGINIA",2895,3967,6862,0.57811133780239
"2596","SPALDING","GEORGIA",8919,14950,23869,0.62633541413549
"2597","SPARTANBURG","SOUTH CAROLINA",33309,58861,92170,0.638613431702289
"2598","SPENCER","INDIANA",2879,5722,8601,0.665271480060458
"2599","SPENCER","KENTUCKY",2000,5760,7760,0.742268041237113
"2600","SPINK","SOUTH DAKOTA",958,1736,2694,0.644394951744618
"2601","SPOKANE","WASHINGTON",108697,119770,228467,0.524233259070238
"2602","SPOTSYLVANIA","VIRGINIA",23718,27718,51436,0.538883272416207
"2603","ST CLAIR","ALABAMA",5589,24272,29861,0.81283279193597
"2604","ST JOHNS","FLORIDA",40858,85608,126466,0.676925023326428
"2605","ST JOSEPH","INDIANA",53289,39649,92938,0.426617745163442
"2606","ST LUCIE","FLORIDA",62281,61645,123926,0.497433952520052
"2607","ST. BERNARD","LOUISIANA",3467,7255,10722,0.676646148106697
"2608","ST. CHARLES","LOUISIANA",7219,4569,11788,0.387597556837462
"2609","ST. CHARLES","MISSOURI",69852,99626,169478,0.587840309656711
"2610","ST. CLAIR","ILLINOIS",54108,41387,95495,0.433394418555945
"2611","ST. CLAIR","MICHIGAN",23719,38562,62281,0.61916154204332
"2612","ST. CLAIR","MISSOURI",1047,2948,3995,0.737922403003755
"2613","ST. CROIX","WISCONSIN",16631,22676,39307,0.576894700689445
"2614","ST. FRANCIS","ARKANSAS",3038,2587,5625,0.459911111111111
